episode_index,episode_length,is_successful
0,21,False
1,16,False
2,34,False
3,18,False
4,18,False
5,48,False
6,19,False
7,25,False
8,16,False
9,23,False
10,21,False
11,19,False
12,30,False
13,32,False
14,41,False
15,82,False
16,37,False
17,70,False
18,37,False
19,75,False
20,61,False
21,56,False
22,64,False
23,67,False
24,15,False
25,79,False
26,117,False
27,62,False
28,80,False
29,43,False
30,65,False
31,40,False
32,60,False
33,46,False
34,62,False
35,38,False
36,79,False
37,69,False
38,72,False
39,63,False
40,67,False
41,66,False
42,73,False
43,35,False
44,64,False
45,55,False
46,70,False
47,47,False
48,65,False
49,28,False
50,34,False
51,87,False
52,58,False
53,69,False
54,30,False
55,81,False
56,89,False
57,51,False
58,73,False
59,84,False
60,68,False
61,71,False
62,73,False
63,78,False
64,68,False
65,18,False
66,72,False
67,76,False
68,71,False
69,90,False
70,80,False
71,87,False
72,63,False
73,90,False
74,82,False
75,24,False
76,95,False
77,71,False
78,59,False
79,74,False
80,85,False
81,65,False
82,77,False
83,72,False
84,78,False
85,86,False
86,75,False
87,74,False
88,79,False
89,27,False
90,71,False
91,102,False
92,111,False
93,97,False
94,109,False
95,69,False
96,96,False
97,132,False
98,90,False
99,103,False
