timestamp,feedback,magnitude,reward,cart_position,cart_velocity,pole_angle,pole_velocity,episode,timestep
0.00039458274841308594,positive,10.0,10.0,0.009880718775093555,-0.15937656164169312,-0.0002308561815880239,0.3234052360057831,0,1
0.0006921291351318359,positive,10.0,10.0,-0.02424450032413006,-0.3576282858848572,0.06495364010334015,0.6862968802452087,0,8
0.0007312297821044922,positive,10.0,10.0,-0.03139706701040268,-0.5535889267921448,0.07867957651615143,0.9987009167671204,0,9
6.914138793945312e-05,positive,10.0,10.0,0.02866148017346859,-0.004005552269518375,0.021351462230086327,0.03015541471540928,1,0
0.000179290771484375,positive,10.0,10.0,0.024592826142907143,-0.00462443707510829,0.028544524684548378,0.04381832480430603,1,2
0.00021409988403320312,positive,10.0,10.0,0.02450033836066723,-0.20014382898807526,0.029420891776680946,0.345368891954422,1,3
0.0002467632293701172,positive,10.0,10.0,0.020497461780905724,-0.39567166566848755,0.0363282710313797,0.6471822261810303,1,4
0.0002791881561279297,positive,10.0,10.0,0.012584027834236622,-0.20107419788837433,0.04927191510796547,0.36615678668022156,1,5
0.0003108978271484375,positive,10.0,10.0,0.008562544360756874,-0.006685802713036537,0.05659504979848862,0.08940812200307846,1,6
0.00038933753967285156,positive,10.0,10.0,0.004377400502562523,-0.39847084879875183,0.0663711354136467,0.7098995447158813,1,8
0.00042176246643066406,positive,10.0,10.0,-0.0035920164082199335,-0.5944461822509766,0.08056912571191788,1.0227141380310059,1,9
0.0005440711975097656,negative,10.0,-10.0,-0.05102744698524475,-1.1831400394439697,0.161056250333786,1.9916846752166748,1,12
0.000579833984375,negative,10.0,-10.0,-0.07469024509191513,-1.3795418739318848,0.2008899450302124,2.329620838165283,1,13
0.00015497207641601562,positive,10.0,10.0,-0.011525447480380535,-0.4061654806137085,0.021203521639108658,0.5996125340461731,2,2
0.00028061866760253906,positive,10.0,10.0,-0.04762297496199608,-0.6027091145515442,0.07521029561758041,0.9256119728088379,2,5
0.0004401206970214844,negative,10.0,-10.0,-0.1193770244717598,-1.3876763582229614,0.18754376471042633,2.223818302154541,2,9
0.0002434253692626953,positive,10.0,10.0,-0.04754519835114479,-0.3526095747947693,-0.021251406520605087,0.5415192246437073,3,4
0.0003230571746826172,positive,10.0,10.0,-0.05774129927158356,0.03807375952601433,-0.005576685536652803,-0.053734853863716125,3,6
0.0007824897766113281,negative,10.0,-10.0,-0.17842264473438263,-1.3340400457382202,0.1824917197227478,2.161402463912964,3,17
0.00010752677917480469,positive,10.0,10.0,0.0016498412005603313,-0.21481803059577942,0.008076869882643223,0.3374936282634735,4,1
0.0002493858337402344,positive,10.0,10.0,-0.022955190390348434,-0.4106391370296478,0.0460815504193306,0.6461057066917419,4,4
0.0006642341613769531,negative,10.0,-10.0,-0.07102102786302567,-0.035018403083086014,0.14629678428173065,0.3866904079914093,4,14
0.0006971359252929688,negative,10.0,-10.0,-0.0717213973402977,-0.2318812906742096,0.15403060615062714,0.7216883301734924,4,15
0.0007283687591552734,negative,10.0,-10.0,-0.07635901868343353,-0.42876043915748596,0.16846436262130737,1.0586167573928833,4,16
5.7220458984375e-05,positive,10.0,10.0,0.020358337089419365,0.031742747873067856,-0.018548088148236275,0.014780113473534584,5,0
0.00019693374633789062,positive,10.0,10.0,0.01837640255689621,-0.1626756489276886,-0.012157999910414219,0.29197263717651367,5,3
0.0003600120544433594,positive,10.0,10.0,0.005374877247959375,0.2275959551334381,0.010922422632575035,-0.2940634489059448,5,7
0.00039196014404296875,positive,10.0,10.0,0.009926795959472656,0.03232000023126602,0.0050411531701684,0.0020441508386284113,5,8
0.0005495548248291016,positive,10.0,10.0,-0.0031076755840331316,-0.35854145884513855,0.0288481917232275,0.6011913418769836,5,12
0.0005817413330078125,positive,10.0,10.0,-0.010278504341840744,-0.5540547966957092,0.04087201878428459,0.9028195738792419,5,13
0.0006558895111083984,positive,10.0,10.0,-0.03635371848940849,-0.5553925633430481,0.08308969438076019,0.9344149827957153,5,15
0.0008113384246826172,negative,10.0,-10.0,-0.07313758134841919,-0.17142926156520844,0.14974373579025269,0.49012553691864014,5,19
0.0008425712585449219,negative,10.0,-10.0,-0.0765661671757698,0.02129821479320526,0.15954624116420746,0.24812975525856018,5,20
0.0008747577667236328,negative,10.0,-10.0,-0.07614020258188248,-0.1756998747587204,0.16450883448123932,0.5865817666053772,5,21
0.0009059906005859375,negative,10.0,-10.0,-0.07965420186519623,-0.37269720435142517,0.176240473985672,0.9262359738349915,5,22
0.00011730194091796875,positive,10.0,10.0,-0.03543370962142944,-0.03273460641503334,0.02554960735142231,0.009785216301679611,6,0
0.0002338886260986328,positive,10.0,10.0,-0.040652673691511154,-0.42369258403778076,0.031953681260347366,0.6111083626747131,6,2
0.0005705356597900391,negative,10.0,-10.0,-0.1166711077094078,-0.4321104884147644,0.15112994611263275,0.8048378825187683,6,10
0.0006465911865234375,negative,10.0,-10.0,-0.1378922313451767,-0.8258106708526611,0.19004647433757782,1.481102466583252,6,12
6.794929504394531e-05,positive,10.0,10.0,0.021134337410330772,-0.032658651471138,-0.02912130393087864,0.04944974184036255,7,0
0.0001652240753173828,positive,10.0,10.0,0.015934139490127563,-0.42206165194511414,-0.021476224064826965,0.6164845824241638,7,2
0.00032973289489746094,positive,10.0,10.0,-0.025614837184548378,-0.4220469295978546,0.03908078372478485,0.616258442401886,7,6
0.0004057884216308594,positive,10.0,10.0,-0.04640962556004524,-0.42330148816108704,0.06982574611902237,0.6448948979377747,7,8
0.0006513595581054688,negative,10.0,-10.0,-0.12486644834280014,-1.2113827466964722,0.1964319795370102,2.01340913772583,7,14
0.00015401840209960938,positive,10.0,10.0,-0.029180539771914482,-0.41511857509613037,-0.034121811389923096,0.5520673394203186,8,2
0.00018930435180664062,positive,10.0,10.0,-0.037482909858226776,-0.21953445672988892,-0.02308046445250511,0.2488320767879486,8,3
0.00022172927856445312,positive,10.0,10.0,-0.04187360033392906,-0.41431930661201477,-0.01810382306575775,0.5341464877128601,8,4
0.0002541542053222656,positive,10.0,10.0,-0.050159987062215805,-0.6091820597648621,-0.0074208928272128105,0.8210704922676086,8,5
0.0006577968597412109,negative,10.0,-10.0,-0.16871277987957,0.15847040712833405,0.1651018112897873,-0.0677584633231163,8,15
0.0006906986236572266,negative,10.0,-10.0,-0.1655433624982834,0.3508877754211426,0.1637466549873352,-0.30413997173309326,8,16
0.0007221698760986328,negative,10.0,-10.0,-0.15852561593055725,0.1538570523262024,0.15766385197639465,0.03537941724061966,8,17
0.0007536411285400391,negative,10.0,-10.0,-0.15544846653938293,0.34640800952911377,0.1583714336156845,-0.20370328426361084,8,18
0.0007841587066650391,negative,10.0,-10.0,-0.1485203057527542,0.1494174599647522,0.1542973667383194,0.1344514638185501,8,19
0.0008957386016845703,negative,10.0,-10.0,-0.1435815989971161,0.3374590277671814,0.17106126248836517,-0.003731414442881942,8,22
0.0010886192321777344,negative,10.0,-10.0,-0.11031180620193481,0.5201975107192993,0.18133504688739777,-0.023644452914595604,8,27
0.0011203289031982422,negative,10.0,-10.0,-0.09990786015987396,0.323000967502594,0.180862158536911,0.320321261882782,8,28
0.0011518001556396484,negative,10.0,-10.0,-0.09344784170389175,0.12582620978355408,0.18726858496665955,0.6641432642936707,8,29
0.001241922378540039,negative,10.0,-10.0,-0.08457295596599579,0.509719967842102,0.2092670351266861,0.21241019666194916,8,31
0.00010347366333007812,positive,10.0,10.0,0.040072787553071976,0.008426968939602375,-0.04315446689724922,0.031191393733024597,9,0
0.00020885467529296875,positive,10.0,10.0,0.03652031719684601,-0.3805414140224457,-0.03633159399032593,0.5889248251914978,9,2
0.0002434253692626953,positive,10.0,10.0,0.02890949137508869,-0.18493004143238068,-0.024553095921874046,0.2850222885608673,9,3
0.0003726482391357422,positive,10.0,10.0,0.006126104388386011,-0.7695654630661011,0.009675492532551289,1.146875262260437,9,6
0.0004105567932128906,positive,10.0,10.0,-0.009265204891562462,-0.5745711922645569,0.03261299803853035,0.8572420477867126,9,7
0.0004906654357910156,positive,10.0,10.0,-0.028354797512292862,-0.575691282749176,0.061257630586624146,0.8829232454299927,9,9
0.0005230903625488281,positive,10.0,10.0,-0.03986862301826477,-0.38145238161087036,0.07891609519720078,0.6101098656654358,9,10
0.0005536079406738281,positive,10.0,10.0,-0.047497671097517014,-0.18751707673072815,0.09111829102039337,0.3432895243167877,9,11
0.0009186267852783203,positive,10.0,10.0,-0.027662161737680435,0.3843543827533722,0.09375650435686111,-0.23958392441272736,9,20
0.0009500980377197266,positive,10.0,10.0,-0.019975075498223305,0.18802683055400848,0.08896481990814209,0.08113804459571838,9,21
0.0011861324310302734,negative,10.0,-10.0,-0.017311517149209976,0.17927880585193634,0.13673371076583862,0.27626416087150574,9,27
0.0012192726135253906,negative,10.0,-10.0,-0.013725941069424152,-0.017502084374427795,0.14225898683071136,0.6087550520896912,9,28
0.001251220703125,negative,10.0,-10.0,-0.014075983315706253,0.17537464201450348,0.15443408489227295,0.36404576897621155,9,29
0.0013232231140136719,negative,10.0,-10.0,-0.003208425361663103,0.560483455657959,0.16419030725955963,-0.11385099589824677,9,31
0.0014348030090332031,negative,10.0,-10.0,0.03417779505252838,0.358943909406662,0.15467151999473572,0.32574719190597534,9,34
0.0014660358428955078,negative,10.0,-10.0,0.04135667532682419,0.5515643358230591,0.16118645668029785,0.08555813133716583,9,35
0.001617431640625,negative,10.0,-10.0,0.07741780579090118,0.1528240293264389,0.18570461869239807,0.8710373640060425,9,39
0.0016484260559082031,negative,10.0,-10.0,0.08047428727149963,0.3450008034706116,0.20312537252902985,0.6420124769210815,9,40
0.0002086162567138672,positive,10.0,10.0,0.013618754222989082,-0.598724365234375,0.052727099508047104,0.9069725275039673,10,3
0.00024271011352539062,positive,10.0,10.0,0.0016442673513665795,-0.40435439348220825,0.07086654752492905,0.6313173174858093,10,4
0.0005991458892822266,negative,10.0,-10.0,-0.043329838663339615,-0.4124296307563782,0.1487903743982315,0.8162233233451843,10,10
0.0006895065307617188,negative,10.0,-10.0,-0.06376326084136963,-0.41661256551742554,0.1881500780582428,0.9150723218917847,10,12
0.0007245540618896484,negative,10.0,-10.0,-0.07209550589323044,-0.2244648039340973,0.20645152032375336,0.6869275569915771,10,13
0.00016951560974121094,positive,10.0,10.0,-0.0003102335031144321,-0.40512487292289734,0.034941136837005615,0.5769140720367432,11,2
0.0002491474151611328,positive,10.0,10.0,-0.012622923590242863,-0.01608007587492466,0.05238821730017662,0.017770670354366302,11,4
0.0003712177276611328,positive,10.0,10.0,-0.025337664410471916,-0.21349701285362244,0.07198086380958557,0.36190712451934814,11,7
0.0004458427429199219,positive,10.0,10.0,-0.037798892706632614,-0.2156272828578949,0.09274682402610779,0.40966343879699707,11,9
0.0006425380706787109,negative,10.0,-10.0,-0.07524436712265015,-0.4184603989124298,0.16344454884529114,0.8814108371734619,11,14
0.0007169246673583984,negative,10.0,-10.0,-0.0881313905119896,-0.033692359924316406,0.19395765662193298,0.41360580921173096,11,16
6.914138793945312e-05,positive,10.0,10.0,0.010505521669983864,-0.028557389974594116,0.01530536264181137,0.04487651586532593,12,0
0.000164031982421875,positive,10.0,10.0,0.005456465296447277,-0.41924411058425903,0.023049870505928993,0.6400968432426453,12,2
0.0002872943878173828,positive,10.0,10.0,-0.023623188957571983,-0.6158971786499023,0.06782563775777817,0.9681211709976196,12,5
0.0003204345703125,positive,10.0,10.0,-0.03594113141298294,-0.42174822092056274,0.08718805760145187,0.697492778301239,12,6
0.0008132457733154297,negative,10.0,-10.0,-0.04568083584308624,0.3366888165473938,0.1621343046426773,0.01095337513834238,12,18
0.0008463859558105469,negative,10.0,-10.0,-0.038947056978940964,0.5291591286659241,0.16235338151454926,-0.22650675475597382,12,19
0.0008771419525146484,negative,10.0,-10.0,-0.028363876044750214,0.3321342468261719,0.15782324969768524,0.11266659945249557,12,20
0.0009081363677978516,negative,10.0,-10.0,-0.021721191704273224,0.13514426350593567,0.1600765734910965,0.45068684220314026,12,21
0.0009388923645019531,negative,10.0,-10.0,-0.019018305465579033,-0.06183662638068199,0.16909031569957733,0.7892423868179321,12,22
0.0009694099426269531,negative,10.0,-10.0,-0.020255038514733315,0.13060976564884186,0.18487516045570374,0.5541657209396362,12,23
0.0010004043579101562,negative,10.0,-10.0,-0.01764284260571003,0.32272040843963623,0.1959584802389145,0.3249545395374298,12,24
0.0010361671447753906,negative,10.0,-10.0,-0.011188434436917305,0.5145912170410156,0.20245756208896637,0.0999002456665039,12,25
0.0001266002655029297,positive,10.0,10.0,-0.01570752076804638,0.007350013125687838,-0.017798062413930893,0.04309986159205437,13,0
0.0004181861877441406,positive,10.0,10.0,-0.0577046237885952,-0.3829997777938843,0.05072082579135895,0.6314197778701782,13,6
0.0006337165832519531,negative,10.0,-10.0,-0.11179301142692566,-0.1940314620733261,0.14145542681217194,0.4782693386077881,13,11
0.0006663799285888672,negative,10.0,-10.0,-0.11567363888025284,-0.0011602839222177863,0.1510208249092102,0.2333015352487564,13,12
0.0006983280181884766,negative,10.0,-10.0,-0.11569684743881226,-0.19808119535446167,0.1556868553161621,0.5695524215698242,13,13
0.0007305145263671875,negative,10.0,-10.0,-0.1196584701538086,-0.005445931572467089,0.167077898979187,0.3296815752983093,13,14
0.0008044242858886719,negative,10.0,-10.0,-0.11602833867073059,-0.01017816737294197,0.1755514293909073,0.4360463321208954,13,16
0.0008363723754882812,negative,10.0,-10.0,-0.11623190343379974,0.18208082020282745,0.18427236378192902,0.2034377157688141,13,17
0.0008673667907714844,negative,10.0,-10.0,-0.11259028315544128,-0.015132573433220387,0.18834111094474792,0.5481194853782654,13,18
0.0008978843688964844,negative,10.0,-10.0,-0.11289293318986893,0.17691399157047272,0.1993035078048706,0.32018932700157166,13,19
0.0009293556213378906,negative,10.0,-10.0,-0.1093546524643898,0.3687223792076111,0.20570729672908783,0.09638017416000366,13,20
0.0009608268737792969,negative,10.0,-10.0,-0.10198020935058594,0.5603934526443481,0.20763489603996277,-0.12501250207424164,13,21
0.0009984970092773438,negative,10.0,-10.0,-0.09077233821153641,0.3629955053329468,0.20513464510440826,0.22533158957958221,13,22
0.00015401840209960938,positive,10.0,10.0,0.03796062618494034,-0.1502077728509903,0.02755388244986534,0.2927369773387909,14,1
0.00019669532775878906,positive,10.0,10.0,0.034956470131874084,-0.34571152925491333,0.033408623188734055,0.5939810872077942,14,2
0.0002758502960205078,positive,10.0,10.0,0.025020785629749298,0.043375737965106964,0.05152836814522743,0.033942703157663345,14,4
0.00030803680419921875,positive,10.0,10.0,0.02588830143213272,-0.15244582295417786,0.05220722407102585,0.3424278199672699,14,5
0.00042724609375,positive,10.0,10.0,0.00499072577804327,-0.35007959604263306,0.09131360054016113,0.6925886869430542,14,8
0.0007829666137695312,positive,10.0,10.0,0.07348552346229553,0.6122167706489563,0.04214247316122055,-0.48029854893684387,14,17
0.0008993148803710938,positive,10.0,10.0,0.09847945719957352,0.025428179651498795,0.031606368720531464,0.42983266711235046,14,20
0.0009315013885498047,positive,10.0,10.0,0.09898802638053894,0.22008861601352692,0.040203019976615906,0.1472785621881485,14,21
0.0009636878967285156,positive,10.0,10.0,0.10338979959487915,0.024414701387286186,0.04314859211444855,0.4523687958717346,14,22
0.0010383129119873047,positive,10.0,10.0,0.10045228898525238,-0.36709094047546387,0.06736265867948532,1.066974401473999,14,24
0.0010693073272705078,positive,10.0,10.0,0.09311047196388245,-0.563036322593689,0.08870214223861694,1.38001549243927,14,25
0.0001575946807861328,positive,10.0,10.0,-0.015510994009673595,-0.1766325831413269,0.04972010850906372,0.3138189911842346,15,1
0.00028896331787109375,positive,10.0,10.0,-0.037857841700315475,-0.37414851784706116,0.08706241846084595,0.6611202955245972,15,4
0.0005731582641601562,positive,10.0,10.0,-0.008940483443439007,0.5908163189888,0.07066426426172256,-0.5714128613471985,15,11
0.0006048679351806641,positive,10.0,10.0,0.002875842619687319,0.394778311252594,0.059236008673906326,-0.2573316991329193,15,12
0.0007603168487548828,positive,10.0,10.0,0.010951800271868706,-0.38878345489501953,0.07585614174604416,0.9838918447494507,15,16
0.00087738037109375,negative,10.0,-10.0,-0.02414119429886341,-0.9773571491241455,0.15393006801605225,1.9483572244644165,15,19
0.0009107589721679688,negative,10.0,-10.0,-0.0436883382499218,-1.1737463474273682,0.19289721548557281,2.2845349311828613,15,20
0.00011920928955078125,positive,10.0,10.0,0.035500988364219666,0.022511839866638184,0.032117702066898346,-0.005436224862933159,16,0
0.00023937225341796875,positive,10.0,10.0,0.03249011188745499,-0.3686189353466034,0.03795307129621506,0.599808394908905,16,2
0.000274658203125,positive,10.0,10.0,0.02511773444712162,-0.17404794692993164,0.04994923993945122,0.31931760907173157,16,3
0.00035309791564941406,positive,10.0,10.0,0.022043341770768166,-0.1755542755126953,0.057191506028175354,0.35270747542381287,16,5
0.0005109310150146484,positive,10.0,10.0,0.007895763963460922,-0.17923443019390106,0.087704598903656,0.43489545583724976,16,9
0.0007100105285644531,negative,10.0,-10.0,-0.010292899794876575,0.008418095298111439,0.13714918494224548,0.3082084655761719,16,14
0.0007421970367431641,negative,10.0,-10.0,-0.010124538093805313,0.2013465017080307,0.14331334829330444,0.06172889843583107,16,15
0.0008144378662109375,negative,10.0,-10.0,0.0017854698235169053,0.5869435667991638,0.14089737832546234,-0.4263466000556946,16,17
0.0009975433349609375,positive,10.0,10.0,0.06410550326108932,0.5799893140792847,0.08870159834623337,-0.26959824562072754,16,21
0.001032114028930664,positive,10.0,10.0,0.07570528984069824,0.38372090458869934,0.08330963551998138,0.04969106242060661,16,22
0.0011599063873291016,positive,10.0,10.0,0.11035837233066559,0.5752228498458862,0.0703810527920723,-0.16374874114990234,16,25
0.001191854476928711,positive,10.0,10.0,0.12186282873153687,0.7692704200744629,0.06710607558488846,-0.4334244728088379,16,26
0.001264810562133789,positive,10.0,10.0,0.14871354401111603,0.7675037980079651,0.05603029206395149,-0.39405378699302673,16,28
0.0012969970703125,positive,10.0,10.0,0.16406363248825073,0.5716334581375122,0.048149216920137405,-0.08424496650695801,16,29
0.0013277530670166016,positive,10.0,10.0,0.17549629509449005,0.37585553526878357,0.04646431654691696,0.2232319414615631,16,30
0.0013589859008789062,positive,10.0,10.0,0.1830134093761444,0.18010133504867554,0.050928954035043716,0.5302019119262695,16,31
0.0013899803161621094,positive,10.0,10.0,0.18661543726921082,-0.015698660165071487,0.061532992869615555,0.8384877443313599,16,32
0.0016112327575683594,negative,10.0,-10.0,0.16142894327640533,-0.6070639491081238,0.18549881875514984,1.8739502429962158,16,37
0.0001366138458251953,positive,10.0,10.0,-0.0032189390622079372,0.005573985166847706,-0.012879581190645695,0.03726441040635109,17,0
