episode_index,episode_length,is_successful
0,15,False
1,46,False
2,26,False
3,13,False
4,36,False
5,31,False
6,20,False
7,18,False
8,22,False
9,20,False
10,15,False
11,15,False
12,16,False
13,39,False
14,23,False
15,34,False
16,30,False
17,16,False
18,72,False
19,22,False
20,17,False
21,28,False
22,28,False
23,10,False
24,18,False
25,89,False
26,59,False
27,27,False
28,89,False
29,50,False
30,92,False
31,86,False
32,66,False
33,88,False
34,63,False
35,54,False
36,74,False
37,66,False
38,69,False
39,79,False
40,57,False
41,88,False
42,78,False
43,62,False
44,87,False
45,14,False
46,88,False
47,67,False
48,67,False
49,70,False
50,66,False
51,86,False
52,79,False
53,61,False
54,66,False
55,84,False
56,77,False
57,62,False
58,89,False
59,107,False
60,18,False
61,96,False
62,107,False
63,96,False
64,75,False
65,147,False
66,117,False
67,93,False
68,140,False
69,149,False
70,67,False
71,139,False
72,145,False
73,124,False
74,110,False
75,147,False
76,129,False
77,125,False
78,129,False
79,126,False
80,111,False
81,119,False
82,29,False
83,100,False
84,115,False
85,101,False
86,104,False
87,119,False
88,108,False
89,116,False
90,108,False
91,110,False
92,111,False
93,115,False
94,111,False
95,108,False
96,144,False
97,108,False
98,134,False
99,162,False
