episode_index,episode_length,is_successful
0,15,False
1,12,False
2,11,False
3,42,False
4,12,False
5,11,False
6,9,False
7,12,False
8,20,False
9,9,False
10,65,False
11,14,False
12,13,False
13,13,False
14,13,False
15,61,False
16,18,False
17,11,False
18,10,False
19,10,False
20,9,False
21,12,False
22,13,False
23,12,False
24,11,False
25,17,False
26,16,False
27,11,False
28,9,False
29,12,False
30,13,False
31,9,False
32,11,False
33,13,False
34,29,False
35,12,False
36,11,False
37,10,False
38,10,False
39,10,False
40,13,False
41,15,False
42,11,False
43,10,False
44,10,False
45,9,False
46,11,False
47,14,False
48,10,False
49,8,False
50,10,False
51,12,False
52,11,False
53,15,False
54,14,False
55,32,False
56,11,False
57,12,False
58,47,False
59,29,False
60,33,False
61,11,False
62,43,False
63,47,False
64,70,False
65,63,False
66,62,False
67,55,False
68,70,False
69,71,False
70,44,False
71,49,False
72,56,False
73,14,False
74,100,False
75,121,False
76,97,False
77,36,False
78,67,False
79,95,False
80,104,False
81,124,False
82,115,False
83,71,False
84,117,False
85,30,False
86,81,False
87,56,False
88,16,False
89,96,False
90,45,False
91,102,False
92,119,False
93,110,False
94,107,False
95,130,False
96,11,False
97,127,False
98,116,False
99,84,False
