episode_index,episode_length,is_successful
0,13,False
1,12,False
2,16,False
3,11,False
4,13,False
5,10,False
6,13,False
7,14,False
8,11,False
9,9,False
10,21,False
11,16,False
12,68,False
13,30,False
14,18,False
15,13,False
16,9,False
17,11,False
18,9,False
19,10,False
20,28,False
21,14,False
22,18,False
23,14,False
24,42,False
25,53,False
26,9,False
27,17,False
28,11,False
29,18,False
30,34,False
31,14,False
32,13,False
33,25,False
34,10,False
35,16,False
36,11,False
37,13,False
38,39,False
39,10,False
40,9,False
41,12,False
42,10,False
43,9,False
44,17,False
45,9,False
46,59,False
47,12,False
48,13,False
49,14,False
50,42,False
51,14,False
52,14,False
53,12,False
54,12,False
55,9,False
56,10,False
57,11,False
58,11,False
59,9,False
60,12,False
61,9,False
62,11,False
63,14,False
64,11,False
65,122,False
66,10,False
67,12,False
68,12,False
69,9,False
70,17,False
71,12,False
72,12,False
73,11,False
74,10,False
75,10,False
76,12,False
77,10,False
78,9,False
79,11,False
80,14,False
81,40,False
82,11,False
83,41,False
84,46,False
85,77,False
86,106,False
87,70,False
88,57,False
89,49,False
90,84,False
91,78,False
92,123,False
93,74,False
94,88,False
95,93,False
96,56,False
97,83,False
98,116,False
99,138,False
